Record ID,Authors,Title,Publication,Volume,Issue,Pages,DOI,Abstract,URL,Publication Type,Year
7810,"Stephen N. Bennett, Nicolaas Bouwes, Paul C. Rogers",Beaver and Aspen: Synergy Among Keystone Species,WAA Briefs,6,Not found,1 - 2,Not found,"In the West, climate change is likely to increase the frequency, intensity, and duration of drought. Restoration of soils and water storage capacity can help create resilient uplands and riverscapes (i.e., streams and the valley bottoms). Over the past two centuries, common land uses, the removal of beaver and wood, straightening of streams, and damage to riparian areas have created simplified, structurally starved, riverscapes. Degraded streams are very efficient at transporting water, sediment, and nutrients downstream. Aspen forests are also biological hotspots that have been degraded by past land uses such as overbrowsing ungulates, land clearing, fire suppression, and outright removal in favor of timber species. Loss of riverscape and aspen habitats has a disproportionate impact on biodiversity and landscape resilience. When aspen occur in or near riverscapes they are a preferred food and building material for beavers. Beaver, in-turn, can stimulate aspen regeneration, both through cutting and restoring hydrologic function in riparian areas. Adding beavers can reinstate riparian processes, increase aspen growth and diversity that extends to uplands, and buffer ecosystem sensitivity to extended drought.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=8820&context=aspen_bib,Article,2019
2798,"Matthew Bishop, Tucker J. Furniss, Karen E. Mock, Jim A. Lutz, ≤","Genetic and Spatial Structuring of Populus tremuloides in a Mixed-Species Forest of Southwestern Utah, USA",Western North American Naturalist,79,1,63 - 71,Not found,"Populus tremuloides Michx. (aspen) is an iconic species of the southwestern United States, where it is known for its extensive clonality. The size of clones and pattern of clonal distribution within and among stands can provide important clues to the species' evolution and ecology, but there are very few studies that have conducted the type of sampling necessary to define these features. We examined the genetic composition and habitat associations of aspen in a mixed-species forest in Cedar Breaks National Monument on the Markagunt Plateau, southwestern Utah. Genetic analysis of 94 stems ≥1 cm diameter at breast height (dbh) selected from a population census of 2742 stems within a contiguous 13.64-ha plot revealed 2 spatially cohesive triploid genets and 2 diploid genets (all differing in 8 to 15 alleles). Aspen abundance within the 13.64 ha varied between 0 and 634 stems/ha across 8 distinct habitat types. Regenerating aspen stems (1 cm ≤ dbh < 5 cm) varied between 0 and 112 stems/ha, with higher levels of regeneration in habitats with greater aspen dominance relative to other tree species. Recent regeneration may have been stimulated by a Dendroctonous rufipennis outbreak in the 1990s, which killed a high proportion of Picea engelmannii. Even though the visual impression is of a single aspen clone, the 4 identified genets suggest a higher-than-expected level of genetic diversity in this mixed-species stand which may confer resilience to increasing climate variability and drought. Furthermore, aspen regeneration in areas of both low and high adult aspen densities show that these mixed stands can support vigorous aspen populations.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=3798&context=wild_facpub,Article,2019
7820,"Dominique Boucher, Sylvie Gauthier, Nelson Thiffault, William Marchand, Martin Girardin, Morgane Urli",How Climate Change Might Affect Tree Regeneration Following Fire at Northern Latitudes: A Review,New Forests,Not found,Not found,1 - 29,Not found,"Climate change is projected to increase fire severity and frequency in the boreal forest, but it could also directly affect post-fire recruitment processes by impacting seed production, germination, and seedling growth and survival. We reviewed current knowledge regarding the effects of high temperatures and water deficits on post-fire recruitment processes of four major tree species (Picea mariana, Pinus banksiana, Populus tremuloides and Betula papyrifera) in order to anticipate the effects of climate change on forest recovery following fire in the boreal biome. We also produced maps of future vulnerability of post-fire recruitment by combining tree distributions in Canada with projections of temperature, moisture index and fire regime for the 2041–2070 and 2071–2100 periods. Although our review reveals that information is lacking for some regeneration stages, it highlights the response variability to climate conditions between species. The recruitment process of black spruce is likely to be the most affected by rising temperatures and water deficits, but more tolerant species are also at risk of being impacted by projected climate conditions. Our maps suggest that in eastern Canada, tree species will be vulnerable mainly to projected increases in temperature, while forests will be affected mostly by droughts in western Canada. Conifer-dominated forests are at risk of becoming less productive than they currently are, and eventually, timber supplies from deciduous species-dominated forests could also decrease. Our vulnerability maps are useful for prioritizing areas where regeneration monitoring efforts and adaptive measures could be developed.",https://doi.org/10.1007/s11056-019-09745-6,Article,2019
7808,"Mario Bretfeld, Scott B. Franklin, Robert K. Peet","Long‐Term Understory Vegetation Dynamics of Mixed Aspen Forests in Rocky Mountain National Park, USA",Journal of Vegetation Science,30,1,121 - 133,Not found,"Forests worldwide are subjected to increasing pressures from altered disturbance regimes, climate change, and their interactions. We resampled previously established vegetation plots to directly assess long‐term vegetation dynamics in the forest understory of mixed aspen forests, including species diversity, distribution, and composition.",https://doi.org/10.1111/jvs.12712,Article,2019
7807,"Matthew J. Clement, Larisa E. Harding, Richard W. Lucas, Esther S. Rubin",Relative Importance of Biotic and Abiotic Factors Influencing Aspen Recruitment in Arizona,Forest Ecology and Management,441,Not found,32 - 41,Not found,"Poor recruitment in some quaking aspen (Populus tremuloides) stands has led to debate over which factors play the largest role in aspen forest persistence. Understanding the relative importance of the many relevant factors over a large landscape could inform management strategies regarding aspen recruitment by focusing efforts on the most important factors. Therefore, between 2011 and 2016 we collected data on 29 biotic and abiotic factors thought to affect aspen recruitment from 92 randomly-selected aspen stands growing along the southwestern limit of its distribution in Arizona, USA. We assessed the condition of selected aspen stands by quantifying the number of recently recruited aspen stems (saplings >2 m tall and dbh) in each sampling plot. We used negative binomial regression to estimate the relationship between aspen recruitment and the measured covariates. We fit a balanced set of models, calculated AIC weights for those models, and summed the weights of the models containing each covariate as a measure of covariate relative importance. Six covariates had relative importance values that were significantly greater than random: fire severity in 2011, conifer encroachment, rust presence, fire severity in 2015, blight presence, and the standardized precipitation-evapotranspiration index. There were no significant differences in the ranking of these six covariates by relative importance. Although we estimated that cattle and elk had a significant negative impact on aspen recruitment, these factors were relatively unimportant. This seemingly counter-intuitive result arose because many sites lacked ungulates, but still failed to recruit aspen, indicating that other factors were more important for aspen recruitment. Our results indicate that conifer removal and increased fire activity could be among the most effective management tools to help promote aspen recruitment.",https://doi.org/10.1016/j.foreco.2019.03.026,Article,2019
7821,"Adrianna C. Foster, Amanda H. Armstrong, Jacquelyn K. Shuman, Herman H. Shugart, Brendan M. Rogers, Michelle C. Mack, Scott J. Goetz, K. Jon Ranson","Importance of Tree-and Species-Level Interactions with Wildfire, Climate, and Soils in Interior Alaska: Implications for Forest Change Under a Warming Climate",Ecological Modelling,409,Not found,1 - 17,Not found,"The boreal zone of Alaska is dominated by interactions between disturbances, vegetation, and soils. These interactions are likely to change in the future through increasing permafrost thaw, more frequent and intense wildfires, and vegetation change from drought and competition. We utilize an individual tree-based vegetation model, the University of Virginia Forest Model Enhanced (UVAFME), to estimate current and future forest conditions across sites within interior Alaska. We updated UVAFME for application within interior Alaska, including improved simulation of permafrost dynamics, litter decay, nutrient dynamics, fire mortality, and postfire regrowth. Following these updates, UVAFME output on species-specific biomass and stem density was comparable to inventory measurements at various forest types within interior Alaska. We then simulated forest response to climate change at specific inventory locations and across the Tanana Valley River Basin on a 2 × 2 km2 grid. We derived projected temperature and precipitation from a five-model average taken from the CMIP5 archive under the RCP 4.5 and 8.5 scenarios. Results suggest that climate change and the concomitant impacts on wildfire and permafrost dynamics will result in overall decreases in biomass (particularly for spruce (Picea spp.)) within the interior Tanana Valley, despite increases in quaking aspen (Populus tremuloides) biomass, and a resulting shift towards higher deciduous fraction. Simulation results also predict increases in biomass at cold, wet locations and at high elevations, and decreases in biomass in dry locations, under both moderate (RCP 4.5) and extreme (RCP 8.5) climate change scenarios. These simulations demonstrate that a highly detailed, species interactive model can be used across a large region within Alaska to investigate interactions between vegetation, climate, wildfire, and permafrost. The vegetation changes predicted here have the capacity to feed back to broader scale climate-forest interactions in the North American boreal forest, a region which contributes significantly to the global carbon and energy budgets.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=8829&context=aspen_bib,Article,2019
7811,John C. Guyon II,Role of Disease & Insects in Aspen Ecology,WAA Briefs,5,Not found,1 - 2,Not found,"Aspen is a keystone species in montane forests, and enhances a number of key resource values including wildlife habitat, water resources, and fire behavior. Recently, aspen forests have experienced episodes of dieback and decline across western North America (Worrall et al. 2010, Guyon and Hoffman 2011). A large proportion of the dieback and decline has been linked to drought stress or drought-prone locations (Hanna and Kulakowski 2012). However, insects and diseases are commonly found in declining aspen stands, leading to confusion about the role of insects and diseases in aspen ecology. Additionally, aspen has a reputation for being susceptible to many diseases and insects, but only a few cause significant damage in the western U.S. (Worrall et al. 2010, Guyon and Hoffman 2011).",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=8819&context=aspen_bib,Document,2019
7793,"Joel T. Heinen, Buck Castillo",Browse-Mediated Succession by Deer and Elk 40 Y After a Clearcut in Northern Lower Michigan,The American Midland Naturalist,18,1,81 - 91,Not found,"In 2017 we sampled tree stems in a clearcut generated in 1977 in the Pigeon River State Forest, Michigan and compared results to three previous sampling periods completed in 1983, 1988, and 1999, respectively. Trees were recorded by species, height class, and whether or not stems had been browsed by mammalian herbivores and whether stems were alive or dead. The results show the most preferred browse tree species when the clearcut was young (bigtooth aspen) was completely absent by 1999 and thereafter, and tree species richness increased over time. Elk were still using the area in 2017, as shown by the presence of pellet groups and sightings in the clearcut and nearby, but little noticeable browse damage was seen in 1999 or 2017, and tree mortality was negligible in 2017. A total of 22 tree species were identified across the time period, but only five species were recorded as present in all years. A total of 11 species were recorded in 1 y only: six in 1999 and five in 2017. Many species were rare, as defined by relative abundances of",https://doi.org/10.1674/0003-0031-181.1.81,Article,2019
99,"Ryan G. Howell, Steven L. Petersen, Christopher S. Balzotti, Paul C. Rogers, Mark W. Jackson, Anne E. Hedrich","Using WebGIS to Develop a Spatial Bibliography for Organizing, Mapping, and Disseminating Research Information: A Case Study of Quaking Aspen",Rangelands,41,6,244 - 247,Not found,,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1099&context=eco_pubs,Article,2019
7805,"Jamie Jarolimek, Kerri Vierling",Thermal Environments Within Aspen (Populus tremuloides) Tree Cavities During Summer: Implications for Breeding and Roosting Cavity Users,Journal of Thermal Biology,81,Not found,41 - 48,Not found,"Summer temperature patterns within tree cavities might influence occupancy of cavities by different animals such as birds and bats, and furthermore, cavity temperatures can influence processes such as embryonic development or the development of young. Our study aimed to identify the environmental variables influencing cavity temperatures during summer (June–July) in quaking aspen (Populus tremuloides) in southeastern Idaho. We collected temperature data between June 22 and July 27, 2015 using iButtons distributed across 30 tree cavities in 30 aspen stands in the Craters of the Moon National Monument, Idaho. We used every third day of data to ensure temporal independence amongst readings from the same cavity. We used a multi-model selection framework to examine how environmental characteristics might influence cavity thermal environments, and we modeled how environmental variables, tree, and cavity characteristics might influence daily maximum cavity temperatures. Cavity temperatures ranged as low as 1 °C to as high as 46 °C. Approximately 13% of the cavities experienced temperatures above 40 °C for at least an hour, and these temperatures are noted to be lethal to developing avian embryos.",https://doi.org/10.1016/j.jtherbio.2019.02.011,Article,2019
